r,store,emphasis,word
1,Saks,normal,fouRth
1,Saks,normal,fouRth
1,Saks,normal,fouRth
1,Saks,normal,fouRth
1,Saks,normal,fouRth
1,Saks,normal,fouRth
1,Saks,normal,fouRth
1,Saks,normal,fouRth
1,Saks,normal,fouRth
1,Saks,normal,fouRth
1,Saks,normal,fouRth
1,Saks,normal,fouRth
1,Saks,normal,fouRth
1,Saks,normal,fouRth
1,Saks,normal,fouRth
1,Saks,normal,fouRth
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,normal,flooR
1,Saks,emphatic,fouRth
1,Saks,emphatic,fouRth
1,Saks,emphatic,fouRth
1,Saks,emphatic,fouRth
1,Saks,emphatic,fouRth
1,Saks,emphatic,fouRth
1,Saks,emphatic,fouRth
1,Saks,emphatic,fouRth
1,Saks,emphatic,fouRth
1,Saks,emphatic,fouRth
1,Saks,emphatic,fouRth
1,Saks,emphatic,fouRth
1,Saks,emphatic,fouRth
1,Saks,emphatic,fouRth
1,Saks,emphatic,fouRth
1,Saks,emphatic,fouRth
1,Saks,emphatic,flooR
1,Saks,emphatic,flooR
1,Saks,emphatic,flooR
1,Saks,emphatic,flooR
1,Saks,emphatic,flooR
1,Saks,emphatic,flooR
1,Saks,emphatic,flooR
1,Saks,emphatic,flooR
1,Saks,emphatic,flooR
1,Saks,emphatic,flooR
1,Saks,emphatic,flooR
1,Saks,emphatic,flooR
1,Saks,emphatic,flooR
1,Saks,emphatic,flooR
1,Saks,emphatic,flooR
1,Saks,emphatic,flooR
1,Saks,emphatic,flooR
1,Saks,emphatic,flooR
1,Saks,emphatic,flooR
1,Saks,emphatic,flooR
1,Saks,emphatic,flooR
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,fouRth
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
