"participant"	"language"	"item"	"repetition"	"vot"
"monoSp00"	"spanish"	"da"	1	-61.56
"monoSp00"	"spanish"	"da"	2	-67
"monoSp00"	"spanish"	"da"	3	-56.95
"monoSp00"	"spanish"	"de"	1	-61.16
"monoSp00"	"spanish"	"de"	2	-54.46
"monoSp00"	"spanish"	"de"	3	-47.44
"monoSp00"	"spanish"	"di"	1	-72.13
"monoSp00"	"spanish"	"di"	2	-72.54
"monoSp00"	"spanish"	"di"	3	-44.53
"monoSp00"	"spanish"	"te"	1	5.78
"monoSp00"	"spanish"	"te"	2	21.63
"monoSp00"	"spanish"	"te"	3	12.75
"monoSp00"	"spanish"	"ti"	1	10.72
"monoSp00"	"spanish"	"ti"	2	10.02
"monoSp00"	"spanish"	"ti"	3	25.46
"monoSp00"	"spanish"	"tu"	1	19.07
"monoSp00"	"spanish"	"tu"	2	17.96
"monoSp00"	"spanish"	"tu"	3	12.99
"monoSp01"	"spanish"	"da"	1	-58.73
"monoSp01"	"spanish"	"da"	2	-61.6
"monoSp01"	"spanish"	"da"	3	-65.47
"monoSp01"	"spanish"	"de"	1	-58.28
"monoSp01"	"spanish"	"de"	2	-61.76
"monoSp01"	"spanish"	"de"	3	-68.09
"monoSp01"	"spanish"	"di"	1	-71.94
"monoSp01"	"spanish"	"di"	2	-49.73
"monoSp01"	"spanish"	"di"	3	-59.35
"monoSp01"	"spanish"	"te"	1	16.91
"monoSp01"	"spanish"	"te"	2	14.42
"monoSp01"	"spanish"	"te"	3	3.92
"monoSp01"	"spanish"	"ti"	1	9.44
"monoSp01"	"spanish"	"ti"	2	2.83
"monoSp01"	"spanish"	"ti"	3	23.26
"monoSp01"	"spanish"	"tu"	1	17.82
"monoSp01"	"spanish"	"tu"	2	24.75
"monoSp01"	"spanish"	"tu"	3	21.24
"monoSp02"	"spanish"	"da"	1	-52.93
"monoSp02"	"spanish"	"da"	2	-58.5
"monoSp02"	"spanish"	"da"	3	-62.5
"monoSp02"	"spanish"	"de"	1	-85.29
"monoSp02"	"spanish"	"de"	2	-62.25
"monoSp02"	"spanish"	"de"	3	-63.3
"monoSp02"	"spanish"	"di"	1	-62.05
"monoSp02"	"spanish"	"di"	2	-74.49
"monoSp02"	"spanish"	"di"	3	-59.59
"monoSp02"	"spanish"	"te"	1	11.27
"monoSp02"	"spanish"	"te"	2	13.01
"monoSp02"	"spanish"	"te"	3	6.59
"monoSp02"	"spanish"	"ti"	1	16.86
"monoSp02"	"spanish"	"ti"	2	20.54
"monoSp02"	"spanish"	"ti"	3	23.11
"monoSp02"	"spanish"	"tu"	1	15.76
"monoSp02"	"spanish"	"tu"	2	17.71
"monoSp02"	"spanish"	"tu"	3	3.4
"monoSp03"	"spanish"	"da"	1	-53.22
"monoSp03"	"spanish"	"da"	2	-60.86
"monoSp03"	"spanish"	"da"	3	-81.76
"monoSp03"	"spanish"	"de"	1	-65.05
"monoSp03"	"spanish"	"de"	2	-43.02
"monoSp03"	"spanish"	"de"	3	-45.63
"monoSp03"	"spanish"	"di"	1	-63.67
"monoSp03"	"spanish"	"di"	2	-75.14
"monoSp03"	"spanish"	"di"	3	-67.14
"monoSp03"	"spanish"	"te"	1	0.48
"monoSp03"	"spanish"	"te"	2	18.32
"monoSp03"	"spanish"	"te"	3	14.64
"monoSp03"	"spanish"	"ti"	1	12.02
"monoSp03"	"spanish"	"ti"	2	24.71
"monoSp03"	"spanish"	"ti"	3	8.7
"monoSp03"	"spanish"	"tu"	1	2.45
"monoSp03"	"spanish"	"tu"	2	12.09
"monoSp03"	"spanish"	"tu"	3	-2.56
"monoSp04"	"spanish"	"da"	1	-32.86
"monoSp04"	"spanish"	"da"	2	-70.53
"monoSp04"	"spanish"	"da"	3	-48.5
"monoSp04"	"spanish"	"de"	1	-69.61
"monoSp04"	"spanish"	"de"	2	-51.13
"monoSp04"	"spanish"	"de"	3	-69.36
"monoSp04"	"spanish"	"di"	1	-59.38
"monoSp04"	"spanish"	"di"	2	-52.38
"monoSp04"	"spanish"	"di"	3	-61.26
"monoSp04"	"spanish"	"te"	1	3.61
"monoSp04"	"spanish"	"te"	2	19.11
"monoSp04"	"spanish"	"te"	3	8.66
"monoSp04"	"spanish"	"ti"	1	6.74
"monoSp04"	"spanish"	"ti"	2	10.01
"monoSp04"	"spanish"	"ti"	3	12.49
"monoSp04"	"spanish"	"tu"	1	11.96
"monoSp04"	"spanish"	"tu"	2	12.47
"monoSp04"	"spanish"	"tu"	3	15.95
"monoSp05"	"spanish"	"da"	1	-62.38
"monoSp05"	"spanish"	"da"	2	-47.11
"monoSp05"	"spanish"	"da"	3	-41.69
"monoSp05"	"spanish"	"de"	1	-78.33
"monoSp05"	"spanish"	"de"	2	-62.6
"monoSp05"	"spanish"	"de"	3	-67.28
"monoSp05"	"spanish"	"di"	1	-60.26
"monoSp05"	"spanish"	"di"	2	-61.03
"monoSp05"	"spanish"	"di"	3	-68.58
"monoSp05"	"spanish"	"te"	1	6.21
"monoSp05"	"spanish"	"te"	2	15.12
"monoSp05"	"spanish"	"te"	3	17.52
"monoSp05"	"spanish"	"ti"	1	11.47
"monoSp05"	"spanish"	"ti"	2	4.09
"monoSp05"	"spanish"	"ti"	3	1.8
"monoSp05"	"spanish"	"tu"	1	20.11
"monoSp05"	"spanish"	"tu"	2	15.79
"monoSp05"	"spanish"	"tu"	3	9.94
"monoSp06"	"spanish"	"da"	1	-62.58
"monoSp06"	"spanish"	"da"	2	-67.98
"monoSp06"	"spanish"	"da"	3	-58.55
"monoSp06"	"spanish"	"de"	1	-55.86
"monoSp06"	"spanish"	"de"	2	-61.15
"monoSp06"	"spanish"	"de"	3	-59.8
"monoSp06"	"spanish"	"di"	1	-67.93
"monoSp06"	"spanish"	"di"	2	-66.85
"monoSp06"	"spanish"	"di"	3	-79.03
"monoSp06"	"spanish"	"te"	1	13.36
"monoSp06"	"spanish"	"te"	2	17.62
"monoSp06"	"spanish"	"te"	3	39.54
"monoSp06"	"spanish"	"ti"	1	16.35
"monoSp06"	"spanish"	"ti"	2	8.92
"monoSp06"	"spanish"	"ti"	3	4.42
"monoSp06"	"spanish"	"tu"	1	4.11
"monoSp06"	"spanish"	"tu"	2	19.37
"monoSp06"	"spanish"	"tu"	3	7.79
"monoSp07"	"spanish"	"da"	1	-52.78
"monoSp07"	"spanish"	"da"	2	-62.4
"monoSp07"	"spanish"	"da"	3	-62.51
"monoSp07"	"spanish"	"de"	1	-50.07
"monoSp07"	"spanish"	"de"	2	-70.01
"monoSp07"	"spanish"	"de"	3	-54.99
"monoSp07"	"spanish"	"di"	1	-72.2
"monoSp07"	"spanish"	"di"	2	-39.72
"monoSp07"	"spanish"	"di"	3	-62.31
"monoSp07"	"spanish"	"te"	1	10.79
"monoSp07"	"spanish"	"te"	2	12.22
